# StartTime = 03/04/2026 12:49:17.7375 PM
Time (sec), Short term fuel % trim - Bank 1 (%), Engine RPM (RPM), Vehicle speed (MPH), Absolute throttle position (%)
0.000,3.90625,747,0,14.509804
2.469,3.125,751,0,14.509804
3.961,3.125,741,0,14.509804
5.467,3.90625,750,0,14.509804
6.958,1.5625,3019,0,14.509804
8.757,0,2174,0,14.509804
10.265,3.125,852,0,14.509804
11.764,14.84375,780,0,14.509804
13.262,8.59375,820,0,32.54902
15.096,0,2793,0,14.90196
16.592,0,927,0,14.90196
18.097,16.40625,788,0,14.509804
19.588,9.375,782,0,16.470589
21.397,0,4516,0,14.90196
22.897,0,1906,0,14.509804
24.388,2.34375,840,0,14.509804
25.895,0,5030,0,14.90196
27.695,0,2852,0,14.90196
29.192,0,916,0,14.509804
30.693,11.71875,1742,0,39.60784
32.253,0,3472,0,14.90196
34.050,0,1351,0,14.90196
35.550,8.59375,773,0,14.509804
37.055,0,3392,0,14.90196
38.560,0,3203,0,14.90196
40.351,0,1204,0,14.509804
41.849,17.96875,787,0,14.509804
43.358,11.71875,783,0,14.509804
44.858,7.8125,777,0,14.509804
46.656,0,2608,0,14.90196
48.154,0,898,0,14.90196
49.656,13.28125,803,0,17.647058
51.149,10.15625,2357,0,14.90196
52.952,0,1416,0,14.90196
54.452,7.8125,795,0,14.90196
55.953,9.375,1770,0,14.90196
57.458,0,1614,0,14.509804
59.255,7.03125,839,0,14.90196
60.745,11.71875,786,0,14.509804
62.253,0,3024,0,14.90196
63.759,0,1055,0,14.90196
65.550,14.84375,784,0,14.509804
67.058,5.46875,3109,0,14.90196
68.552,0,1497,0,14.90196
70.057,0,1339,0,70.98039
71.856,0,3909,0,14.90196
73.350,0,1416,0,14.90196
75.482,0,1416,0,14.90196
77.289,14.84375,784,0,14.509804
